feature1,feature2,correlation
nose_y,left_shoulder_y,0.990509605179313
nose_y,right_shoulder_y,0.990188657916293
nose_y,left_knee_y,-0.8631731260649301
nose_y,right_knee_y,-0.8548208242545842
nose_y,left_ankle_y,-0.9290690585460964
nose_y,right_ankle_y,-0.9350477333100355
nose_y,body_center_y,0.9913818189253312
nose_z,left_shoulder_x,0.9216733250026229
nose_z,right_shoulder_x,-0.905081241658962
nose_z,left_hip_x,0.9236443851688658
nose_z,right_hip_x,-0.9236443851688658
nose_z,right_wrist_x,-0.8374790269003775
left_shoulder_x,right_shoulder_x,-0.8758853223572235
left_shoulder_x,left_hip_x,0.9555133056899154
left_shoulder_x,right_hip_x,-0.9555133056899154
left_shoulder_x,left_wrist_x,0.9064444084776698
left_shoulder_x,right_wrist_x,-0.8314029193606655
left_shoulder_y,right_shoulder_y,0.9958423673266119
left_shoulder_y,left_knee_y,-0.8810992220965406
left_shoulder_y,right_knee_y,-0.8719315779274543
left_shoulder_y,left_ankle_y,-0.9362482461043693
left_shoulder_y,right_ankle_y,-0.9394454317263284
left_shoulder_y,body_center_y,0.9989837229958345
left_shoulder_z,left_wrist_z,0.8885118943131245
left_shoulder_z,body_center_z,0.8477813661347547
left_shoulder_visibility,right_shoulder_visibility,0.9964129477581348
left_shoulder_visibility,left_hip_visibility,0.8270070705581088
left_shoulder_visibility,right_hip_visibility,0.813895795110555
right_shoulder_x,left_hip_x,-0.962948693638861
right_shoulder_x,right_hip_x,0.962948693638861
right_shoulder_x,right_wrist_x,0.8845980377413243
right_shoulder_y,left_knee_y,-0.8800998423068953
right_shoulder_y,right_knee_y,-0.8745223971055933
right_shoulder_y,left_ankle_y,-0.9360770588383094
right_shoulder_y,right_ankle_y,-0.9398846934738792
right_shoulder_y,body_center_y,0.9989361067897116
right_shoulder_z,right_wrist_z,0.8556180586353803
right_shoulder_visibility,left_hip_visibility,0.822301033559507
right_shoulder_visibility,right_hip_visibility,0.8142785412278166
left_hip_x,right_hip_x,-1.0
left_hip_x,left_wrist_x,0.871342220547465
left_hip_x,right_wrist_x,-0.8907058555588597
left_hip_y,right_hip_y,-1.0
left_hip_z,right_hip_z,-1.0
left_hip_visibility,right_hip_visibility,0.9787287862585047
right_hip_x,left_wrist_x,-0.871342220547465
right_hip_x,right_wrist_x,0.8907058555588597
left_knee_x,left_ankle_x,0.9189414341172135
left_knee_x,left_knee_angle,0.8630577659225148
left_knee_x,right_knee_angle,0.8223930705124406
left_knee_x,avg_knee_angle,0.8609050627223367
left_knee_y,right_knee_y,0.9843624078525542
left_knee_y,left_ankle_y,0.9633474869111971
left_knee_y,right_ankle_y,0.9588249097469893
left_knee_y,body_center_y,-0.8815218667126936
right_knee_x,right_ankle_x,0.9314039789779616
right_knee_x,right_wrist_x,0.800654604708493
right_knee_y,left_ankle_y,0.9558923184687429
right_knee_y,right_ankle_y,0.9546267206844654
right_knee_y,body_center_y,-0.8741210892090013
right_knee_visibility,right_ankle_visibility,0.8485392891631424
left_ankle_y,right_ankle_y,0.9964341015454304
left_ankle_y,body_center_y,-0.9371380798308074
left_ankle_z,right_ankle_z,0.8797650471949516
right_ankle_x,right_wrist_x,0.8058507420915667
right_ankle_y,body_center_y,-0.9406406399499181
left_wrist_visibility,right_wrist_x,0.8256826154525164
left_knee_angle,right_knee_angle,0.9150050974515604
left_knee_angle,avg_knee_angle,0.9778581466180338
right_knee_angle,left_hip_angle,0.8706043879843051
right_knee_angle,right_hip_angle,0.8751246880975819
right_knee_angle,avg_knee_angle,0.9791730840344667
left_hip_angle,right_hip_angle,0.9417297285441272
left_hip_angle,avg_knee_angle,0.8496083428139956
right_hip_angle,avg_knee_angle,0.8189033463415794
left_hip_velocity_x,right_hip_velocity_x,-1.0
left_hip_velocity_y,right_hip_velocity_y,-1.0
left_hip_velocity_z,right_hip_velocity_z,-1.0
left_hip_velocity_total,right_hip_velocity_total,1.0
left_knee_velocity_y,right_knee_velocity_y,0.9036030600085743
left_knee_velocity_total,right_knee_velocity_total,0.866228518323997
left_hip_acceleration_x,right_hip_acceleration_x,-1.0
left_hip_acceleration_y,right_hip_acceleration_y,-1.0
left_hip_acceleration_z,right_hip_acceleration_z,-1.0
left_hip_acceleration_total,right_hip_acceleration_total,1.0
left_knee_acceleration_y,right_knee_acceleration_y,0.880827820163739
left_knee_acceleration_total,right_knee_acceleration_total,0.8525728465633017
